,stock_code,date,open_p,max_p,min_p,close_p,volume_s,volume_p,volume_s1,volume_s7,volume_s30,gap,re,OBV,K,D,J,CCI,MACD,var,credit
51,SH600519,2019-03-21,788.0,792.8,781.5,785.75,3257328,2558222848.0,3111752.0,5251001.0,3669657.0,11.299999999999955,-0.0028553299492385786,751294699.0,68.17443141223396,65.45378479584667,73.61572464500853,-9.045763496669798,8226.687438455321,-0.011376816177821155,1.0
52,SH600519,2019-03-22,788.22,799.98,785.0,794.0,3051750,2420497920.0,3257328.0,4056136.0,3052062.0,14.980000000000018,0.007332978102560164,754346449.0,69.72253678067021,66.8767021241212,75.41420609376823,-10.84027501059488,8254.992415452301,-0.011376816177821155,1.0
53,SH600519,2019-03-25,786.0,788.0,773.3,775.6,3727046,2903744256.0,3051750.0,6217256.0,5814075.0,14.700000000000045,-0.013231552162849844,750619403.0,61.01643453541616,64.92327959455285,53.20274441714278,56.46238486299457,8236.160533428587,-0.011414985837307982,-1.0
54,SH600519,2019-03-26,780.0,785.94,764.1,773.0,3759569,2914113024.0,3727046.0,5240071.0,3509143.0,21.840000000000032,-0.008974358974358974,746859834.0,51.140754253304046,60.329104480803245,32.76405379830565,131.13496052770378,8215.561111385605,-0.011414985837307982,1.0
55,SH600519,2019-03-27,781.0,793.88,775.0,788.5,4280739,3366132224.0,3759569.0,8131880.0,3567706.0,18.879999999999995,0.009603072983354673,751140573.0,50.22180232657973,56.96000376272874,36.745399454281696,10.60511910045502,8234.062850466826,-0.011376816177821155,1.0
56,SH600519,2019-03-28,793.43,814.48,785.68,806.8,5756676,4615969792.0,4280739.0,4063493.0,3225813.0,28.800000000000068,0.016850887917018522,756897249.0,61.70514232704627,58.541716617501244,68.03199374613631,-633.3288000363092,8289.615478747573,-0.011376816177821155,1.0
57,SH600519,2019-03-29,835.0,866.68,830.17,853.99,9093396,7702154752.0,5756676.0,3111752.0,2323798.0,36.50999999999999,0.022742514970059892,765990645.0,70.34648404437777,62.47663909312676,86.08617394687981,-467.0284914757304,8438.916726865598,-0.011376816177821155,1.0
58,SH600519,2019-04-01,860.0,868.95,851.0,859.0,6093461,5228521984.0,9093396.0,3257328.0,3774589.0,17.950000000000045,-0.0011627906976744186,772084106.0,77.06774027692263,67.34033948772539,96.52254185531714,-235.5431969605221,8567.66714828591,-0.011376816177821155,1.0
59,SH600519,2019-04-02,859.99,859.99,836.06,850.0,5322705,4496538624.0,6093461.0,3051750.0,2950150.0,23.930000000000064,-0.011616414144350527,766761401.0,78.6873474362444,71.12267547056506,93.81669136760306,-115.85842503154947,8648.860272423428,-0.011414985837307982,-1.0
60,SH600519,2019-04-03,840.12,851.74,834.21,844.5,4305680,3629854208.0,5322705.0,3727046.0,3788237.0,17.529999999999973,0.00521354092272532,762455721.0,78.01855589693353,73.42130227935455,87.21306313209149,-50.996143837504476,8700.415467824088,-0.011414985837307982,1.0
61,SH600519,2019-04-04,840.0,865.8,836.2,865.0,5577236,4763897856.0,4305680.0,3759569.0,2985040.0,29.59999999999991,0.02976190476190476,768032957.0,84.08994173132079,76.97751543000997,98.31479433394244,-38.5123290433349,8786.773054885625,-0.011414985837307982,1.0
62,SH600519,2019-04-08,900.0,908.0,890.12,900.2,6625193,5944780800.0,5577236.0,4280739.0,2590877.0,17.879999999999995,0.00022222222222227276,774658150.0,87.58648420262712,80.5138383542157,101.73177589944999,-82.93170323717742,8933.39752078617,-0.011376816177821155,1.0
